
# Relic enchants:


## AOE_damage_bonus_to_spells:
```
assassin_power_sword_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
assault_armor_a_Vulnerability_armour (ancient)
autogun (godlike)
autopistol (godlike)
bolt_pistol (godlike)
boltgun (godlike)
carthean_sword (godlike)
carthean_sword_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
chainsword (godlike)
death_cult_blade (godlike)
death_cult_blade_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
demolition_armor_a_Vulnerability_armour (ancient)
electroid_shielding_a_Vulnerability_armour (ancient)
empyrean_armour_a_Vulnerability_armour (ancient)
eviscerator (godlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
fabricator_distortion_armour_a_Vulnerability_armour (ancient)
grav_gun (godlike)
grav_gun_b_BIG_weapons_crusader_ranged_channeled_overheat_Chance_to_give_vulnerability_on_hit (biggodlike)
greataxe (godlike)
greatsword (godlike)
heavy_bolter (godlike)
heavy_flamer (godlike)
heavy_flamer_b_BIG_weapons_crusader_ranged_channeled_overheat_Chance_to_give_vulnerability_on_hit (biggodlike)
hololithic_armour_a_Vulnerability_armour (ancient)
inferno_pistol (godlike)
inferno_pistol_b_BIG_weapons_crusader_ranged_channeled_overheat_Chance_to_give_vulnerability_on_hit (biggodlike)
lasgun (godlike)
lasgun_b_BIG_weapons_crusader_ranged_channeled_overheat_Chance_to_give_vulnerability_on_hit (biggodlike)
laspistol (godlike)
laspistol_b_BIG_weapons_crusader_ranged_channeled_overheat_Chance_to_give_vulnerability_on_hit (biggodlike)
longlas_rifle (godlike)
longlas_rifle_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
melta_gun (godlike)
melta_gun_b_BIG_weapons_crusader_ranged_channeled_overheat_Chance_to_give_vulnerability_on_hit (biggodlike)
necromechanic_raiment_a_Vulnerability_armour (ancient)
needler_sniper_rifle (godlike)
needler_sniper_rifle_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
null_rod (godlike)
null_rod_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
power_axe (godlike)
power_hammer (godlike)
power_sword (godlike)
sentinel_armor_a_Vulnerability_armour (ancient)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
stealth_bodysuit_a_Vulnerability_armour (ancient)
technomartyr_vestment_a_Vulnerability_armour (ancient)
thunder_hammer (godlike)
warpbound_armour_a_Vulnerability_armour (ancient)
```


## Chance_to_lightning_bolt_in_area:
```
chainsword (godlike)
chainsword_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
eviscerator (godlike)
eviscerator_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_melee_Chance_to_lightning_bolt_in_area (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_melee_Chance_to_lightning_bolt_in_area (biggodlike)
force_sword_b_BIG_weapons_psyker_melee_Chance_to_lightning_bolt_in_area (biggodlike)
greataxe (godlike)
greataxe_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
greatsword (godlike)
greatsword_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
power_axe (godlike)
power_axe_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
power_hammer (godlike)
power_hammer_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
power_sword (godlike)
power_sword_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
thunder_hammer (godlike)
thunder_hammer_b_BIG_weapons_crusader_melee_Chance_to_lightning_bolt_in_area (biggodlike)
```


## Chance_to_reduce_warp_heat_cost:
```
aetherwalker_armour (godlike)
aetherwalker_armour_b_Big_armours_psyker_Chance_to_reduce_warp_heat_cost (biggodlike)
empyrean_armour (godlike)
empyrean_armour_b_Big_armours_psyker_Chance_to_reduce_warp_heat_cost (biggodlike)
signum_a_Low_warp_signum (ancient)
warpbound_armour (godlike)
warpbound_armour_b_Big_armours_psyker_Chance_to_reduce_warp_heat_cost (biggodlike)
```


## chance_to_shock_enemy_in_melee_on_struck:
```
assault_armor (godlike)
assault_armor_b_Big_armours_crusader_chance_to_shock_enemy_in_melee_on_struck (biggodlike)
demolition_armor (godlike)
demolition_armor_b_Big_armours_crusader_chance_to_shock_enemy_in_melee_on_struck (biggodlike)
sentinel_armor (godlike)
sentinel_armor_b_Big_armours_crusader_chance_to_shock_enemy_in_melee_on_struck (biggodlike)
```


## chance_to_shock_per_hit:
```
assassin_power_sword (godlike)
carthean_sword (godlike)
death_cult_blade (godlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_snipers_chance_to_shock_per_hit (biggodlike)
null_rod (godlike)
power_hammer (godlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_snipers_chance_to_shock_per_hit (biggodlike)
thunder_hammer (godlike)
```


## Chance_to_stun_after_killing:
```
arc_blade_a_Stun_weapon (ancient)
arc_sword_a_Stun_weapon (ancient)
assassin_power_sword_a_Stun_weapon (ancient)
carthean_sword_a_Stun_weapon (ancient)
chainsword (godlike)
death_cult_blade_a_Stun_weapon (ancient)
eviscerator (godlike)
eviscerator_a_Stun_weapon (ancient)
exitus_rifle_a_Stun_weapon (ancient)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
grav_gun_a_Stun_weapon (ancient)
grav_pistol_a_Stun_weapon (ancient)
greataxe (godlike)
greataxe_a_Stun_weapon (ancient)
greatsword (godlike)
grenade_launcher_a_Stun_weapon (ancient)
null_rod_a_Stun_weapon (ancient)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
power_axe (godlike)
power_hammer (godlike)
power_hammer_a_Stun_weapon (ancient)
power_sword (godlike)
sniper_rifle_a_Stun_weapon (ancient)
thunder_hammer (godlike)
thunder_hammer_a_Stun_weapon (ancient)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Cooldown_reduction_after_teleport:
```
aetherwalker_armour (godlike)
```


## Damage_against_slowed_shocked_with_chance_to_stun:
```
arc_blade (godlike)
arc_blade_b_BIG_weapons_assassin_melee_arc_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
arc_sword (godlike)
arc_sword_b_BIG_weapons_assassin_melee_arc_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
assault_armor_a_Stun_armour (ancient)
autogun (godlike)
autogun_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
autopistol (godlike)
autopistol_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
bolt_pistol (godlike)
bolt_pistol_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
boltgun (godlike)
boltgun_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
demolition_armor_a_Stun_armour (ancient)
fabricator_distortion_armour_a_Stun_armour (ancient)
heavy_bolter (godlike)
heavy_bolter_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Damage_against_slowed_shocked_with_chance_to_stun (biggodlike)
hololithic_armour_a_Stun_armour (ancient)
needler_sniper_rifle (godlike)
sentinel_armor_a_Stun_armour (ancient)
shotgun (godlike)
signum_a_Crit_Slowgroup_signum (ancient)
stealth_bodysuit_a_Stun_armour (ancient)
```


## Damage_based_on_missing_hp:
```
assault_armor (godlike)
assault_armor_b_Big_armours_crusader_Damage_based_on_missing_hp (biggodlike)
demolition_armor (godlike)
demolition_armor_b_Big_armours_crusader_Damage_based_on_missing_hp (biggodlike)
sentinel_armor (godlike)
sentinel_armor_b_Big_armours_crusader_Damage_based_on_missing_hp (biggodlike)
```


## Damage_bonus_based_on_debuff:
```
arc_blade (godlike)
arc_blade_b_BIG_weapons_assassin_melee_arc_Damage_bonus_based_on_debuff (biggodlike)
arc_sword (godlike)
arc_sword_b_BIG_weapons_assassin_melee_arc_Damage_bonus_based_on_debuff (biggodlike)
assassin_power_sword (godlike)
carthean_sword (godlike)
death_cult_blade (godlike)
exitus_rifle (godlike)
grav_gun (godlike)
grav_gun_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_bonus_based_on_debuff (biggodlike)
grav_pistol (godlike)
grenade_launcher (godlike)
grenade_launcher_b_BIG_weapons_crusader_ranged_grenade_launcher_Damage_bonus_based_on_debuff (biggodlike)
heavy_flamer (godlike)
heavy_flamer_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_bonus_based_on_debuff (biggodlike)
inferno_pistol (godlike)
inferno_pistol_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_bonus_based_on_debuff (biggodlike)
lasgun (godlike)
lasgun_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_bonus_based_on_debuff (biggodlike)
laspistol (godlike)
laspistol_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_bonus_based_on_debuff (biggodlike)
longlas_rifle (godlike)
melta_gun (godlike)
melta_gun_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_bonus_based_on_debuff (biggodlike)
multi_melta (godlike)
needler_sniper_rifle (godlike)
null_rod (godlike)
plasma_cannon (godlike)
plasma_gun (godlike)
plasma_pistol (godlike)
shotgun (godlike)
shotgun_b_BIG_weapons_crusader_ranged_shotgun_Damage_bonus_based_on_debuff (biggodlike)
sniper_rifle (godlike)
```


## Damage_buff_to_next_spell:
```
aetherwalker_armour (godlike)
empyrean_armour (godlike)
warpbound_armour (godlike)
```


## Damage_for_long_penalty_for_short_range:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
autogun (godlike)
autogun_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
autopistol (godlike)
autopistol_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
bolt_pistol (godlike)
bolt_pistol_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
boltgun (godlike)
boltgun_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_ranged_Damage_for_long_penalty_for_short_range (biggodlike)
grav_gun (godlike)
grav_gun_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
grav_pistol (godlike)
grav_pistol_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
grenade_launcher (godlike)
grenade_launcher_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
heavy_bolter (godlike)
heavy_bolter_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
lasgun (godlike)
lasgun_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
laspistol (godlike)
laspistol_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
longlas_rifle (godlike)
longlas_rifle_b_BIG_weapons_assassin_ranged_Damage_for_long_penalty_for_short_range (biggodlike)
multi_melta (godlike)
multi_melta_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
needler_sniper_rifle (godlike)
needler_sniper_rifle_b_BIG_weapons_assassin_ranged_Damage_for_long_penalty_for_short_range (biggodlike)
plasma_cannon (godlike)
plasma_cannon_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
plasma_gun (godlike)
plasma_gun_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
plasma_pistol (godlike)
plasma_pistol_b_BIG_weapons_crusader_ranged_longrange_Damage_for_long_penalty_for_short_range (biggodlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_ranged_Damage_for_long_penalty_for_short_range (biggodlike)
```


## Damage_in_execution_bonus:
```
arc_blade (godlike)
arc_blade_a_Execution_weapon (ancient)
arc_sword (godlike)
arc_sword_a_Execution_weapon (ancient)
assassin_power_sword (godlike)
assassin_power_sword_a_Execution_weapon (ancient)
assault_armor_a_Execution_armour (ancient)
carthean_sword (godlike)
carthean_sword_a_Execution_weapon (ancient)
chainsword (godlike)
chainsword_a_Execution_weapon (ancient)
death_cult_blade (godlike)
death_cult_blade_a_Execution_weapon (ancient)
demolition_armor_a_Execution_armour (ancient)
eviscerator (godlike)
eviscerator_a_Execution_weapon (ancient)
fabricator_distortion_armour_a_Execution_armour (ancient)
greataxe (godlike)
greataxe_a_Execution_weapon (ancient)
greatsword (godlike)
greatsword_a_Execution_weapon (ancient)
hololithic_armour_a_Execution_armour (ancient)
null_rod (godlike)
null_rod_a_Execution_weapon (ancient)
power_axe (godlike)
power_axe_a_Execution_weapon (ancient)
power_hammer (godlike)
power_hammer_a_Execution_weapon (ancient)
power_sword (godlike)
power_sword_a_Execution_weapon (ancient)
sentinel_armor_a_Execution_armour (ancient)
stealth_bodysuit_a_Execution_armour (ancient)
thunder_hammer (godlike)
thunder_hammer_a_Execution_weapon (ancient)
```


## Damage_reduce_based_on_debuff:
```
arc_blade (godlike)
arc_sword (godlike)
assassin_power_sword (godlike)
carthean_sword (godlike)
death_cult_blade (godlike)
exitus_rifle (godlike)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_2_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_rod_3 (godlike)
force_rod_3_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_rod_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_2_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_staff_3 (godlike)
force_staff_3_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_staff_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
force_sword_b_BIG_weapons_psyker_Damage_reduce_based_on_debuff (biggodlike)
grav_gun (godlike)
grav_gun_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_reduce_based_on_debuff (biggodlike)
grav_pistol (godlike)
grenade_launcher (godlike)
heavy_flamer (godlike)
heavy_flamer_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_reduce_based_on_debuff (biggodlike)
inferno_pistol (godlike)
inferno_pistol_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_reduce_based_on_debuff (biggodlike)
lasgun (godlike)
lasgun_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_reduce_based_on_debuff (biggodlike)
laspistol (godlike)
laspistol_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_reduce_based_on_debuff (biggodlike)
longlas_rifle (godlike)
melta_gun (godlike)
melta_gun_b_BIG_weapons_crusader_ranged_channeled_overheat_Damage_reduce_based_on_debuff (biggodlike)
multi_melta (godlike)
needler_sniper_rifle (godlike)
null_rod (godlike)
plasma_cannon (godlike)
plasma_gun (godlike)
plasma_pistol (godlike)
shotgun (godlike)
shotgun_b_BIG_weapons_crusader_ranged_shotgun_Damage_reduce_based_on_debuff (biggodlike)
sniper_rifle (godlike)
```


## Damage_reduce_based_on_warp_heat:
```
aetherwalker_armour_a_Battlemage_tank_armour (ancient)
aetherwalker_armour_b_Big_armours_psyker_Damage_reduce_based_on_warp_heat (biggodlike)
empyrean_armour_a_Battlemage_tank_armour (ancient)
empyrean_armour_b_Big_armours_psyker_Damage_reduce_based_on_warp_heat (biggodlike)
warpbound_armour_a_Battlemage_tank_armour (ancient)
warpbound_armour_b_Big_armours_psyker_Damage_reduce_based_on_warp_heat (biggodlike)
```


## Damage_reduce_in_Green_suppression:
```
aetherwalker_armour_a_Green_suppression_armour (ancient)
assault_armor_a_Green_suppression_armour (ancient)
assault_armor_b_Big_armours_crusader_Damage_reduce_in_Green_suppression (biggodlike)
belt_deflector_field_generator_a_Green_suppression_belt (ancient)
belt_digital_weapons_a_Green_suppression_belt (ancient)
belt_fabricator_scatter_field_a_Green_suppression_belt (ancient)
belt_personal_teleporter_a_Green_suppression_belt (ancient)
belt_personal_void_shield_a_Green_suppression_belt (ancient)
belt_psyker_a_Green_suppression_belt (ancient)
belt_refractor_field_a_Green_suppression_belt (ancient)
belt_rosarius_force_field_a_Green_suppression_belt (ancient)
demolition_armor_a_Green_suppression_armour (ancient)
demolition_armor_b_Big_armours_crusader_Damage_reduce_in_Green_suppression (biggodlike)
electroid_shielding_a_Green_suppression_armour (ancient)
empyrean_armour_a_Green_suppression_armour (ancient)
fabricator_distortion_armour_a_Green_suppression_armour (ancient)
hololithic_armour_a_Green_suppression_armour (ancient)
main_implant_a_Regen_GreenSupp_main_implant (ancient)
necromechanic_raiment_a_Green_suppression_armour (ancient)
sentinel_armor_a_Green_suppression_armour (ancient)
sentinel_armor_b_Big_armours_crusader_Damage_reduce_in_Green_suppression (biggodlike)
stealth_bodysuit_a_Green_suppression_armour (ancient)
technomartyr_vestment_a_Green_suppression_armour (ancient)
warpbound_armour_a_Green_suppression_armour (ancient)
```


## Deflect_bonus_after_shield_block:
```
storm_shield (godlike)
storm_shield_b_BIG_shields_Deflect_bonus_after_shield_block (biggodlike)
suppression_shield (godlike)
suppression_shield_b_BIG_shields_Deflect_bonus_after_shield_block (biggodlike)
```


## Double_suppression_damage_on_crit:
```
arc_blade (godlike)
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
arc_sword (godlike)
assassin_power_sword (godlike)
assassin_power_sword_b_BIG_weapons_assassin_melee_egyeb_Double_suppression_damage_on_crit (biggodlike)
autogun (godlike)
autopistol (godlike)
bolt_pistol (godlike)
boltgun (godlike)
carthean_sword (godlike)
carthean_sword_b_BIG_weapons_assassin_melee_egyeb_Double_suppression_damage_on_crit (biggodlike)
chainsword (godlike)
death_cult_blade (godlike)
death_cult_blade_b_BIG_weapons_assassin_melee_egyeb_Double_suppression_damage_on_crit (biggodlike)
eviscerator (godlike)
exitus_rifle_a_Crit_Slowgroup_weapon (ancient)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_3 (godlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
grav_gun (godlike)
grav_gun_a_Crit_Slowgroup_weapon (ancient)
grav_pistol (godlike)
grav_pistol_a_Crit_Slowgroup_weapon (ancient)
grav_pistol_b_BIG_weapons_crusader_ranged_normal_speed_overheat_Double_suppression_damage_on_crit (biggodlike)
greataxe (godlike)
greatsword (godlike)
grenade_launcher (godlike)
grenade_launcher_a_Crit_Slowgroup_weapon (ancient)
heavy_bolter (godlike)
heavy_flamer (godlike)
inferno_pistol (godlike)
lasgun (godlike)
lasgun_a_Crit_Slowgroup_weapon (ancient)
